ID;D1;D2;panelistSex;D3;D3R;D4;D4_2_value;D5_1;D5_2;D6;D7_CCAA;D7_HABITAT;D7_POBLACION;D7_CP;D8;D8_EDUCACION;SPLIT;SPLIT_DECISION_1;SPLIT_DECISION_2;SPLIT_DECISION_3;SPLIT_DECISION_4;SPLIT_DECISION_5;P1_1_1;P1_1_2;P1_1_3;P1_1_4;P1_1_5;P1_1_6;P1_1_7;P1_1_8;P1_1_9;P1_1_10;P1_1_11;P1_1_12;P1_1_13;P1_1_14;P1_1_98;P1_2_1;P1_2_2;P1_2_3;P1_2_4;P1_2_5;P1_2_6;P1_2_7;P1_2_8;P1_2_9;P1_2_10;P1_2_11;P1_2_12;P1_2_13;P1_2_14;P1_2_15;P1_2_98;P1_3_1;P1_3_2;P1_3_3;P1_3_4;P1_3_5;P1_3_6;P1_3_7;P1_3_8;P1_3_9;P1_3_10;P1_3_11;P1_3_12;P1_3_13;P1_3_98;P1_4;P1_5;P1_6_1;P1_6_2;P1_6_3;P1_6_4;P1_6_5;P1_6_6;P1_6_7;P1_6_8;P1_6_9;P1_6_10;P1_6_11;P1_7_1;P1_7_2;P1_7_3;P1_7_4;P1_7_5;P1_7_6;P1_7_7;P1_7_8;P1_7_9;P1_7_10;P1_7_98;P1_8_1;P1_8_2;P1_8_3;P1_8_4;P1_8_5;P1_9_1;P1_9_2;P1_9_3;P1_9_4;P1_9_5;P2_1_1;P2_1_2;P2_1_3;P2_1_4;P2_1_5;P2_1_6;P2_1_7;P2_1_98;P2_1_98_value;P2_1_97;P2_2_1;P2_2_2;P2_2_3;P2_2_4;P2_2_98;P2_2_98_value;P2_2_97;P2_3_1;P2_3_2;P2_3_3;P2_3_4;P2_3_5;P2_3_6;P2_3_98;P2_3_98_value;P3_1_1;P3_1_2;P3_1_3;P3_1_4;P3_2;P3_2_1_value;P3_2_2_value;P3_2_3_value;P3_3;P4_1_1;P4_1_2;P4_1_3;P4_1_4;P4_1_5;P4_1_6;P4_1_7;P4_1_8;P4_1_9;P4_1_10;P4_1_11;P4_1_12;P4_2;P4_3;P4_4_1;P4_4_2;P4_4_3;P4_4_4;P4_4_5;P4_4_6;P4_4_7;P4_4_8;P4_4_9;P4_4_10;P5_1;P5_2;P5_3;P5_4;P5_5;P5_5_98;P5_6;P5_6_98;P5_7_1;P5_7_2;P5_7_3;P5_7_4;P5_7_5;P5_7_6;P5_7_7;P5_7_8;P5_7_9;P5_7_10;P5_7_11;P5_7_12;P5_7_13;P5_7_14;P5_7_15;P5_7_16;P5_7_17;P5_7_18;P5_7_19;P5_7_20;P5_7_21;P5_7_22;P5_7_23;P5_7_24;P5_7_25;P5_7_26;P5_8_1;P5_8_2;P5_8_3;P5_8_4;P5_8_5;P5_8_6;P5_8_7;P6_1_1;P6_1_2;P6_2;P6_2_98;P6_3;P6_4;P6_5;P6_6;P6_7;P6_8;P6_9;P6_10;P6_10_98;P6_11;P6_11_1_value;Ponderación;Ponderacion_ajustada
2813;1;1;1;61;5;1;NA;NA;NA;12;12;3;150026;15895;11;3;8;2;2;4;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;NA;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;NA;0;0;1;1;1;1;0;0;1;0;1;0;1;NA;9;4;3;3;2;1;4;1;3;2;2;4;1;1;1;0;0;1;1;0;1;1;1;NA;Juego de Tronos;El Joven Sheldon;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;0;0;0;NA;0;0;1;0;0;0;NA;0;0;0;0;0;0;0;1;Furgoneta;4;4;3;5;0;NA;NA;NA;5;4;3;1;1;4;3;2;3;3;4;1;1;1;3;4;1;4;3;3;3;3;2;3;4;7;3;3;5;2;NA;NA;NA;52;53;51;61;50;55;53;35;54;61;92;11;79;8;3;6;7;71;48;11;62;16;86;95;61;66;3;3;4;4;4;2;2;11;11;3;NA;3;5;37;5;2;5;NA;2;NA;1;1;782043;782043
2814;1;2;2;68;6;1;NA;NA;NA;9;9;1;430445;43560;4;1;1;1;1;4;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;NA;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;1;0;0;0;0;1;0;0;NA;1;99;2;2;2;1;4;2;2;1;1;4;4;1;1;0;0;1;1;0;0;1;0;NA;La Casa de Papel;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;0;0;0;0;NA;0;1;0;0;0;0;NA;0;0;1;0;0;0;0;0;NA;2;4;3;4;0;NA;NA;NA;1;3;5;2;2;5;4;1;1;2;4;1;1;3;6;5;5;4;2;4;2;2;2;5;5;2;2;5;1;97;NA;5;NA;999;999;999;999;999;999;999;999;999;999;999;34;999;999;999;999;999;999;999;999;999;999;999;20;999;999;1;4;4;3;4;3;3;2;2;9;NA;NA;NA;NA;NA;4;5;NA;2;NA;1;2;1.39E+16;1.39E+16
2815;1;1;1;67;6;1;NA;NA;NA;13;13;6;280796;28038;3;1;10;1;2;4;1;1;0;0;0;1;0;0;1;1;0;1;1;0;1;1;NA;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;5;1;3;2;4;1;3;3;1;2;3;5;1;1;1;0;1;1;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;1;0;0;0;NA;0;0;1;0;0;0;NA;0;0;0;0;0;1;0;0;NA;3;2;2;5;0;NA;NA;NA;5;4;3;99;1;2;3;3;1;4;4;99;3;1;5;4;1;4;4;4;4;4;3;4;4;8;3;3;3;2;NA;NA;NA;100;55;17;58;18;999;54;54;59;999;10;100;7;100;27;1;12;100;75;56;68;55;53;64;43;49;1;1;5;4;5;5;3;2;1;9;NA;NA;NA;NA;NA;6;5;NA;2;NA;1;1;1.10E+16;1.10E+16
2816;1;1;1;60;5;1;NA;NA;NA;2;2;6;502973;50001;9;3;1;4;3;3;2;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;NA;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;NA;0;0;0;0;1;0;0;0;0;0;0;1;0;NA;8;1;4;3;3;2;4;3;4;4;3;3;4;1;1;0;1;1;1;0;1;0;0;NA;Breaking Bad;NA;NA;NA;NA;Clash;NA;NA;NA;NA;1;1;0;0;0;0;0;0;NA;0;1;0;0;0;0;NA;0;0;0;0;0;1;0;0;NA;4;4;4;4;0;NA;NA;NA;5;4;4;5;4;4;3;4;4;4;4;3;4;2;3;3;4;3;5;3;3;4;2;3;4;5;10;1;10;1;NA;NA;NA;12;10;19;86;8;48;53;35;87;4;0;93;5;75;5;56;0;34;49;5;3;55;99;95;55;56;4;4;4;4;4;4;4;2;2;1;NA;5;5;40;20;1;1;5;2;NA;1;2;688415;688415
2817;1;1;1;44;3;1;NA;NA;NA;10;10;2;461350;46110;11;3;8;4;4;4;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;NA;0;1;99;0;1;1;1;1;0;0;0;0;0;1;1;NA;0;0;0;0;0;0;0;0;1;0;1;0;0;NA;1;10;4;4;4;2;4;5;2;5;1;4;4;1;1;0;1;1;1;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;1;0;0;0;NA;0;1;0;0;0;0;NA;0;0;0;1;0;0;0;0;NA;1;4;4;5;1;Grindr;NA;NA;2;5;5;3;1;2;2;1;1;5;5;1;1;1;1;1;5;4;5;1;5;5;5;5;5;9;2;5;1;98;Compromís;5;NA;100;100;100;40;100;100;100;100;100;100;100;18;100;0;82;34;0;100;20;52;100;0;51;100;100;100;5;5;5;3;1;5;5;4;11;1;NA;2;5;25;2;5;6;NA;2;NA;0;NA;791388;791388
2818;1;2;2;43;3;1;NA;NA;NA;10;10;3;120846;12200;5;1;2;4;4;4;1;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;99;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;0;0;NA;0;1;0;0;0;0;NA;0;0;0;0;1;0;0;0;NA;3;3;3;3;0;NA;NA;NA;1;99;99;99;99;99;99;99;99;99;99;99;99;5;5;3;3;3;3;3;3;3;3;3;3;1;99;99;99;99;NA;99;NA;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;78;999;999;999;999;999;999;999;999;999;99;99;99;99;99;99;99;3;3;10;NA;NA;NA;NA;NA;99;99;NA;99;NA;999;NA;11911536;11911536
2819;1;1;1;61;5;1;NA;NA;NA;12;12;5;360577;36202;11;3;6;2;4;4;2;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;NA;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;5;5;5;2;1;1;3;2;1;2;3;3;1;1;1;1;1;1;1;0;1;1;1;NA;El Comisario Montalbano;¿Por Qué No le Preguntaron a Evans?;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;0;0;0;0;NA;0;1;0;0;0;0;NA;0;0;0;1;1;0;0;0;NA;1;4;3;5;0;NA;NA;NA;5;5;4;2;1;2;3;5;5;4;5;5;3;5;10;3;1;1;1;5;1;4;4;1;1;9;10;3;8;3;NA;NA;NA;50;20;40;98;38;39;11;9;70;10;2;60;2;97;10;50;70;30;40;39;9;98;80;79;50;40;2;1;4;4;4;4;3;10;11;1;NA;2;5;20;0;4;1;4;1;NA;0;NA;766557;766557
2820;1;2;2;57;5;1;NA;NA;NA;8;8;1;130111;13400;4;1;12;4;3;3;2;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;NA;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;NA;0;0;0;0;0;1;0;0;0;0;1;0;0;NA;1;1;4;2;3;1;4;2;1;2;1;4;1;1;1;0;0;1;1;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;0;0;0;0;NA;0;0;1;0;0;0;NA;0;0;0;0;1;0;0;0;NA;1;4;3;1;0;NA;NA;NA;1;5;5;4;3;4;4;3;3;5;5;2;3;1;1;3;3;4;3;1;5;3;2;3;2;6;4;2;4;4;NA;NA;NA;61;45;85;17;14;15;11;65;65;50;58;7;100;7;25;58;6;98;45;34;75;6;61;62;58;59;1;1;1;3;5;5;1;3;3;8;NA;NA;NA;NA;NA;2;6;NA;2;NA;1;4;126882;126882
2821;1;2;2;46;4;1;NA;NA;NA;9;9;2;171997;17257;6;2;1;4;3;2;1;1;0;1;1;1;0;0;1;1;0;1;0;0;1;1;NA;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;10;5;1;2;3;5;5;1;4;1;5;1;1;1;0;0;1;0;0;0;0;0;NA;Juego de Tronos;NA;NA;NA;NA;Los Sims;NA;NA;NA;NA;1;1;0;0;0;0;0;0;NA;0;0;1;0;0;0;NA;0;0;0;0;0;0;0;1;Furgoneta;5;4;1;4;0;NA;NA;NA;1;5;4;2;4;2;4;1;1;3;5;1;1;5;1;3;2;3;3;3;5;3;3;5;5;1;1;3;5;2;NA;NA;NA;3;11;10;21;2;21;21;99;99;0;91;21;29;0;9;98;1;21;10;40;40;2;81;41;22;91;1;5;5;3;5;5;5;6;6;8;NA;NA;NA;NA;NA;1;6;NA;1;NA;0;NA;8.91E+15;8.91E+15
2822;1;1;1;82;7;1;NA;NA;NA;9;9;4;82665;8290;11;3;2;3;3;2;1;1;99;0;1;99;99;99;1;1;1;1;1;99;1;1;NA;0;1;0;1;1;1;0;1;0;0;0;0;1;1;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;10;10;3;4;3;1;4;5;2;3;5;4;2;1;1;0;0;0;0;0;1;1;1;NA;Sueños de Libertad;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;NA;0;0;0;1;0;0;NA;0;0;0;1;0;0;0;0;NA;1;4;4;1;0;NA;NA;NA;5;4;5;4;4;5;5;4;4;4;4;5;4;7;6;4;5;5;5;3;5;4;4;2;1;9;5;5;1;6;NA;NA;NA;50;50;60;90;41;50;3;42;88;50;70;19;59;0;89;11;2;70;9;99;59;10;59;99;80;50;5;4;5;5;5;5;5;6;6;9;NA;NA;NA;NA;NA;5;2;2;2;NA;1;4;1.12E+16;1.46E+16
